at com.lenovo.qa.support.services.MqttBrokerClient.waitForMessage(MqttBrokerClient.groovy:97),"['SMOKE: Verify that Wifi Auto & Hidden toggles can be configured', 'SMOKE: Verify that logging level can be updated', 'SMOKE: Verify that WiFi Configuration Type and other fields could be changed', 'SMOKE: Verify that logging level can be updated', 'Verify that WiFi security and Password fields could be changed', 'SMOKE: Verify that Wifi Auto & Hidden toggles can be configured', 'SMOKE: Verify that logging level can be updated', 'SMOKE: Verify that toggles can be set', 'Verify that WiFi security and Password fields could be changed', 'Verify that WiFi security and Password fields could be changed', 'SMOKE: Verify that WiFi Configuration Type and other fields could be changed', 'Verify that WiFi security and Password fields could be changed', 'Verify that WiFi security and Password fields could be changed', 'SMOKE: Verify that toggles can be set', 'SMOKE: Verify that On-screen Language can be updated', 'SMOKE: Verify that Wifi Auto & Hidden toggles can be configured', 'SMOKE: Verify that WiFi Configuration Type and other fields could be changed', 'SMOKE: Verify that Developer mode can be updated']",18,
at java.base/java.lang.Thread.run(Thread.java:834),"['Verify that device_subscription can be created', 'Portal is unable to update values for udc-vr-config with wrong field values', 'User is able to invite other users to homegroup', 'Portal is unable to update values for udc-vr-config with wrong field values', 'Portal is unable to update values for udc-vr-config with wrong field values', 'SMOKE: New version of recommended content is replaced the previous on the device ', 'SMOKE: Commercial user can link FREE organization to RRP customer', 'Portal is unable to update values for udc-vr-config with wrong field values', 'SMOKE: MP device can call home with sign', 'Verify happy pass validation for Pico device onboarding flow without call home', 'Portal is unable to update values for udc-vr-config with wrong field values', 'Portal is unable to update values for udc-vr-config with wrong field values', 'SMOKE: MP device can call home with call home token', 'SMOKE: Generate PIN for a PIN policy']",14,different cases with some invalid response
at com.lenovo.qa.api.core.smoke.accountManagement.EmailNotificationsFunctionalTestingSpec.SMOKE: Verify invitation email for different users on different organizations(EmailNotificationsFunctionalTestingSpec.groovy:75),"['SMOKE: Verify invitation email for different users on different organizations', 'SMOKE: Verify invitation email for different users on different organizations', 'SMOKE: Verify invitation email for different users on different organizations', 'SMOKE: Verify invitation email for different users on different organizations', 'SMOKE: Verify invitation email for different users on different organizations', 'SMOKE: Verify invitation email for different users on different organizations', 'SMOKE: Verify invitation email for different users on different organizations', 'SMOKE: Verify invitation email for different users on different organizations', 'SMOKE: Verify invitation email for different users on different organizations']",9,
at com.lenovo.qa.api.thinkShield.regression.deviceProfile.DeviceManagementServiceIntegrationTestingSpec.Verify device status mapping after call home request(DeviceManagementServiceIntegrationTestingSpec.groovy:485),"['Verify device status mapping after call home request', 'Verify device status mapping after call home request', 'Verify device status mapping after call home request', 'Verify device status mapping after call home request', 'Verify device status mapping after call home request', 'Verify device status mapping after call home request']",6,
at com.lenovo.qa.api.core.smoke.accountManagement.UserServiceFunctionalTestingSpec.SMOKE: Verify that subscription admins can not do operations on LCPRealm users(UserServiceFunctionalTestingSpec.groovy:1026),"['SMOKE: Verify that subscription admins can not do operations on LCPRealm users', 'SMOKE: Verify that subscription admins can not do operations on LCPRealm users', 'SMOKE: Verify that subscription admins can not do operations on LCPRealm users', 'SMOKE: Verify that subscription admins can not do operations on LCPRealm users', 'SMOKE: Verify that subscription admins can not do operations on LCPRealm users']",5,
at com.lenovo.qa.api.core.smoke.accountManagement.UserGroupSpec.SMOKE: Verify that user can be associated to groups(UserGroupSpec.groovy:220),"['SMOKE: Verify that user can be associated to groups', 'SMOKE: Verify that user can be associated to groups', 'SMOKE: Verify that user can be associated to groups', 'SMOKE: Verify that user can be associated to groups']",4,
at com.lenovo.qa.api.core.smoke.contentManagementService.ContentManagementServiceSpec.SMOKE: Get documents and media by id(ContentManagementServiceSpec.groovy:134),"['SMOKE: Get documents and media by id', 'SMOKE: Get documents and media by id', 'SMOKE: Get documents and media by id', 'SMOKE: Get documents and media by id']",4,
at com.lenovo.qa.api.core.smoke.accountManagement.UserGroupSpec.SMOKE: Verify that multiple users can be associated to different groups at a time(UserGroupSpec.groovy:301),"['SMOKE: Verify that multiple users can be associated to different groups at a time', 'SMOKE: Verify that multiple users can be associated to different groups at a time', 'SMOKE: Verify that multiple users can be associated to different groups at a time', 'SMOKE: Verify that multiple users can be associated to different groups at a time']",4,
at com.lenovo.qa.api.core.regression.accountManagement.LdapIdentityProvidersSpec.Verify that LDAP identity provider can NOT be created for organization type other than federated-ldap(LdapIdentityProvidersSpec.groovy:70),"['Verify that LDAP identity provider can NOT be created for organization type other than federated-ldap', 'Verify that LDAP identity provider can NOT be created for organization type other than federated-ldap', 'Verify that LDAP identity provider can NOT be created for organization type other than federated-ldap']",3,
at com.lenovo.qa.support.helpers.utils.Utils.waitFor(Utils.groovy:225),"['SMOKE: Verify that Developer mode can be updated', 'SMOKE: System image with permissions can be added to the portal', 'SMOKE: Actions for transfer licences are logged in activity log']",3,
at com.lenovo.qa.api.core.regression.accountManagement.DeviceGroupSpec.Verify that device can be associated to multiple groups which are sorted(DeviceGroupSpec.groovy:483),"['Verify that device can be associated to multiple groups which are sorted', 'Verify that device can be associated to multiple groups which are sorted', 'Verify that device can be associated to multiple groups which are sorted']",3,
at com.lenovo.qa.api.core.regression.accountManagement.OrganizationServiceFunctionalTestingSpec.Verify that demo organization can NOT be created with an invalid value for isDemoOrganization(OrganizationServiceFunctionalTestingSpec.groovy:1502),"['Verify that demo organization can NOT be created with an invalid value for isDemoOrganization', 'Verify that demo organization can NOT be created with an invalid value for isDemoOrganization', 'Verify that demo organization can NOT be created with an invalid value for isDemoOrganization']",3,
at java.base/sun.security.ssl.SSLSocketImpl$AppInputStream.read(SSLSocketImpl.java:823),"['Verify that installer Common Configuration File can be updated', 'SMOKE: Call device status service with X509 certificate', 'User is not able to create second homegroup']",3,
at com.lenovo.qa.api.core.regression.accountManagement.DeviceGroupSpec.Verify that device can be associated to multiple groups at a time(DeviceGroupSpec.groovy:437),"['Verify that device can be associated to multiple groups at a time', 'Verify that device can be associated to multiple groups at a time', 'Verify that device can be associated to multiple groups at a time']",3,
at com.lenovo.qa.api.core.regression.accountManagement.ClientSpec.Verify that S2S communication client can not be created with invalid format of redirectUris(ClientSpec.groovy:361),"['Verify that S2S communication client can not be created with invalid format of redirectUris', 'Verify that S2S communication client can not be created with invalid format of redirectUris', 'Verify that S2S communication client can not be created with invalid format of redirectUris']",3,
at org.eclipse.paho.client.mqttv3.internal.CommsReceiver.run(CommsReceiver.java:133),"['Verify device is able to download file from MQTT command message', 'SMOKE: User can retrieve all devices with specified package', 'SMOKE: User can retrieve download progress per package for given devices']",3,
at com.lenovo.qa.api.core.regression.accountManagement.DeviceGroupSpec.Verify that multiple devices can be associated to multiple groups at a time(DeviceGroupSpec.groovy:513),"['Verify that multiple devices can be associated to multiple groups at a time', 'Verify that multiple devices can be associated to multiple groups at a time', 'Verify that multiple devices can be associated to multiple groups at a time']",3,
at com.lenovo.qa.api.core.regression.accountManagement.MSOrgCreationSpec.Existed org updating with list of subscription ids from different solutions(MSOrgCreationSpec.groovy:58),"['Existed org updating with list of subscription ids from different solutions', 'Existed org updating with list of subscription ids from different solutions', 'Existed org updating with list of subscription ids from different solutions']",3,
